Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Splashpond Investors;https://www.crunchbase.com/organization/splashpond-investors;2;;California City, California, United States;Private Equity Firm;Splashpond Investors aims to transform ideas into innovations, and focuses on the social networking space.;http://splashpond.com;;;;2;2;;;
SPK Capital;https://www.crunchbase.com/organization/spk-capital;2;1;Los Angeles, California, United States;Venture Capital;SPK Capital is a Los Angeles-based private equity firm that offers growth capital investments for small- and medium-sized businesses.;http://spkcapital.com;;;;2;2;;;
Spinta Capital LLC;https://www.crunchbase.com/organization/spinta-capital-llc;;;San Francisco, California, United States;Private Equity Firm;Provides intelligent, efficient, and radically low-cost debt raising services for fast growing technology companies.;http://www.spintacap.com;;;;;;;;
Spinnaker Ventures;https://www.crunchbase.com/organization/spinnaker-ventures;5;3;San Francisco, California, United States;Private Equity Firm;Spinnaker Ventures, founded in 1997, is a private equity fund based in San Francisco.;http://www.spinnakerventures.com/;;;;5;;;;
Spiegel Capital Management;https://www.crunchbase.com/organization/spiegel-capital-management;1;;San Diego, California, United States;Venture Capital;Spiegel Capital Management was added in 2013.;;;;;1;1;;;
Spider Capital;https://www.crunchbase.com/organization/spider-capital-partners;4;;San Francisco, California, United States;Venture Capital;Seed-stage venture capital firm that invests in enterprise cloud platforms which are transforming business productivity.â€‹;http://spidercp.com;;;;4;2;;;
Spectrum Equity Fund;https://www.crunchbase.com/organization/spectrum-equity-fund;;;Laguna Hills, California, United States;Private Equity Firm;The Spectrum Equity Fund was created through a natural evolution of our Director's backgrounds and investments in a variety of privately;http://www.spectrumequityfund.com;;;;;;;;
Sparkland Capital;https://www.crunchbase.com/organization/sparkland-cap;14;;San Jose, California, United States;Venture Capital;Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies.;http://www.sparklandcap.com/;;;https://www.linkedin.com/company/sparkland-capital;13;;;;
SparkLabs Global Ventures;https://www.crunchbase.com/organization/sparklabs-global-ventures;54;5;Palo Alto, California, United States;Venture Capital;SparkLabs Global Ventures is a seed-stage investment firm.;http://www.sparklabsglobal.com;http://twitter.com/SparkLabsGlobal;http://www.facebook.com/sparklabsglobal;;46;3;;;
Spanos Barber Jesse & Co;https://www.crunchbase.com/organization/spanos-barber-jesse-co-2;1;;San Francisco, California, United States;Venture Capital;Spanos Barber Jesse & Co. (â€œSBJâ€ù) is a private investment firm with offices;http://sbjcap.com/;;;;1;1;;;
Sozo Ventures;https://www.crunchbase.com/organization/sozo-ventures;13;3;Palo Alto, California, United States;Venture Capital;Sozo Ventures is a cross-border venture fund focusing on assisting US-based technology start-ups in global expansion.;http://sozo.ventures/;;;;11;4;;;
Sovereignâ€™s Capital;https://www.crunchbase.com/organization/sovereign-s-capital;12;2;San Jose, California, United States;Micro VC;Growth capital for healthcare, IT, and consumer products/services;http://sovereignscapital.com/;https://twitter.com/SovereignsCap/;https://www.facebook.com/pages/Sovereigns-Capital/662722323739352;;11;5;;;
Sound Ventures;https://www.crunchbase.com/organization/sound-ventures;25;1;Los Angeles, California, United States;Corporate Venture Capital;Sound Ventures is a recently formed venture capital firm founded by Ashton Kutcher and Guy Oseary.;http://www.sound-ventures.com/;;;;24;4;;;
Sorrento Ventures;https://www.crunchbase.com/organization/sorrento-ventures;8;1;San Diego, California, United States;Venture Capital;Founded in 1985, Sorrento Ventures is a San Diego-based venture capital firm committed to providing strategic capital and vision to;http://www.sorrentoventures.com/home.htm;;;;6;2;;;
Sood Ventures;https://www.crunchbase.com/organization/sood-ventures;2;1;Palo Alto, California, United States;Micro VC;Sood Ventures is a Palo Alto-based venture capital and advisory firm focused on the mobile industry.;;;;;2;;;;
Soma Capital;https://www.crunchbase.com/organization/soma-capital;30;3;San Francisco, California, United States;Venture Capital;We invest in passionate founders with big ideas. We're a fund that was built by entrepreneurs, for entrepreneurs.;http://www.somacapital.io;;;;29;;;;
Solis Capital Partners;https://www.crunchbase.com/organization/solis-capital-partners;1;;Newport Beach, California, United States;Private Equity Firm;Solis Capital Partners, a lower middle-market private equity firm located in Southern California.;http://www.soliscapital.com;;;;1;;;;
Solidus;https://www.crunchbase.com/organization/solidus;7;1;Redwood City, California, United States;Venture Capital;SOLIDUS is an investment fund managed by Cyrano Management that provides long-term financing to rapidly growing and commercially oriented;http://www.omidyar.com/portfolio/solidus-investment-fund;http://twitter.com/OmidyarNetwork;http://www.facebook.com/OmidyarNetwork;http://www.linkedin.com/company/22806;6;;;;
SoftTech VC;https://www.crunchbase.com/organization/softtech-vc;222;55;Palo Alto, California, United States;Micro VC;Building great companies is your passion. Investing at the earliest stage and helping entrepreneurs realize their dreams is ours.;http://www.softtechvc.com;http://twitter.com/softtechvc;http://www.facebook.com/pages/SoftTech-VC/100898510033537;http://www.linkedin.com/company/softtech-vc;149;22;;;
Sofinnova Ventures;https://www.crunchbase.com/organization/sofinnova-ventures;175;59;Menlo Park, California, United States;Venture Capital;Since 1974, Sofinnova Ventures has partnered with entrepreneurs to secure initial funding, build successful teams, win key customers, and;http://www.sofinnova.com;http://twitter.com/Sofinnova;;;108;42;;;
Social Venture Network;https://www.crunchbase.com/organization/social-venture-network;;;San Francisco, California, United States;Micro VC;Social Venture Network is a venture capital firm that connects business leaders, social entrepreneurs, and impact investors.;http://svn.org/;http://twitter.com/SVNetwork;http://www.facebook.com/SocialVentureNetwork;http://www.linkedin.com/company/social-venture-network;;;;;
Social Starts;https://www.crunchbase.com/organization/social-starts;223;20;San Francisco, California, United States;Micro VC;Social Starts is a $60M+ venture partnership that invests at the moment-of-inception and Series A.;http://socialstarts.com;http://twitter.com/socialstarts;https://www.facebook.com/socialstarts/;https://www.linkedin.com/company/social-starts;181;3;;;
Social Capital;https://www.crunchbase.com/organization/social-capital;190;20;Palo Alto, California, United States;Venture Capital;Social Capital is a Palo Alto-based investment firm whose mission is to advance humanity by solving the worldâ€™s hardest problems.;http://www.socialcapital.com;https://twitter.com/socialcapital;https://www.facebook.com/socialcapitallp;https://www.linkedin.com/company/2347197?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2347197%2Cidx%3A1-1-1%2CtarId%3A1439008273814%2Ctas%3AThe%20Social%2BCapital%20Partnership;118;62;;;
Soaring Ventures;https://www.crunchbase.com/organization/soaring-ventures;;;Lafayette, California, United States;Micro VC;Soaring Ventures was added in 2013.;http://www.soaringvc.com;;;;;;;;
Snow Ventures;https://www.crunchbase.com/organization/snow-ventures-llc;1;;San Francisco, California, United States;Venture Capital;Snow Ventures Early stage investment firm focused on providing diversification to investors and employees in pre-IPO companies.;http://www.snow.ventures/;;;;1;;;;
Sneaky Ventures;https://www.crunchbase.com/organization/sneaky-ventures;;;Los Angeles, California, United States;Venture Capital;Los Angeles based VC firm investing and developing early stage businesses within the key verticals of Entertainment, Fashion and Technology.;http://sneakyventures.com/;https://twitter.com/sneakyvc;;https://www.linkedin.com/company/sneaky-ventures-llc;;;;;
SmartLogic Group;https://www.crunchbase.com/organization/smartlogic-group;1;;San Jose, California, United States;Venture Capital;SmartLogic Group unify enterprise information to drive business results.;http://www.smartlogic.com;;;;1;;;;
Smart Technology Ventures;https://www.crunchbase.com/organization/smart-technology-ventures;24;7;Los Angeles, California, United States;Venture Capital;Smart Technology Ventures is an early- and mid-stage venture capital fund focused on investments in core technology areas.;http://stv.com;;;;15;5;;;
Smallholding Investments;https://www.crunchbase.com/organization/smallholding-investments;;;San Francisco, California, United States;Venture Capital;Investing time and money helping exceptional teams scale their emerging growth companies.;http://www.smallholdinginvestments.com/;;;;;;;;
Smallcap World Fund;https://www.crunchbase.com/organization/smallcap-world-fund;5;4;Los Angeles, California, United States;Venture Capital;Smallcap World Fund is a California-based venture capital firm that invests in the public equity markets across the globe.;http://www.americanfunds.com/funds/details/scwf/a.html;;http://www.facebook.com/americanfunds;;5;1;;;
SLP Ventures;https://www.crunchbase.com/organization/slp-ventures;3;2;Los Angeles, California, United States;Angel Group;SLP Ventures is an early stage venture fund focused on technology-driven companies in the greater Los Angeles area.;;;;;3;;;;
Slow Ventures;https://www.crunchbase.com/organization/slow-ventures;202;21;San Francisco, California, United States;Micro VC;Slow Ventures is a $100mill venture capital firm run by former Facebook executives investing in early stage technology companies.;http://www.slow.co;http://twitter.com/slow;http://www.facebook.com/slowventures;;171;3;;;
SLO Seed Ventures;https://www.crunchbase.com/organization/slo-seed-ventures;2;;San Luis Obispo, California, United States;Venture Debt;SLO Seed Ventures is a membership group of accredited investors with a variety of backgrounds and business experiences providing resources;http://www.sloseedventures.com;;;;2;;;;
